"File","Province","Job Type"
"Wage1.csv","Newfoundland and Labrador","Forestry, fishing, mining, quarrying, oil and gas"
"Wage2.csv","Newfoundland and Labrador","Manufacturing"
"Wage3.csv","Newfoundland and Labrador","Wholesale and retail trade"
"Wage4.csv","Newfoundland and Labrador","Transportation and warehousing"
"Wage5.csv","Newfoundland and Labrador","Finance, insurance, real estate, rental and leasing"
"Wage6.csv","Newfoundland and Labrador","Professional, scientific and technical services"
"Wage7.csv","Newfoundland and Labrador","Business, building and other support services"
"Wage8.csv","Newfoundland and Labrador","Educational services"
"Wage9.csv","Newfoundland and Labrador","Health care and social assistance"
"Wage10.csv","Newfoundland and Labrador","Information, culture and recreation"
"Wage11.csv","Newfoundland and Labrador","Accommodation and food services"
"Wage12.csv","Newfoundland and Labrador","Other services (except public administration)"
"Wage13.csv","Newfoundland and Labrador","Public administration"
"Wage14.csv","Prince Edward Island","Agriculture"
"Wage15.csv","Prince Edward Island","Construction"
"Wage16.csv","Prince Edward Island","Manufacturing"
"Wage17.csv","Prince Edward Island","Wholesale and retail trade"
"Wage18.csv","Prince Edward Island","Transportation and warehousing"
"Wage19.csv","Prince Edward Island","Finance, insurance, real estate, rental and leasing"
"Wage20.csv","Prince Edward Island","Professional, scientific and technical services"
"Wage21.csv","Prince Edward Island","Business, building and other support services"
"Wage22.csv","Prince Edward Island","Educational services"
"Wage23.csv","Prince Edward Island","Health care and social assistance"
"Wage24.csv","Prince Edward Island","Information, culture and recreation"
"Wage25.csv","Prince Edward Island","Accommodation and food services"
"Wage26.csv","Prince Edward Island","Other services (except public administration)"
"Wage27.csv","Prince Edward Island","Public administration"
"Wage28.csv","Nova Scotia","Agriculture"
"Wage29.csv","Nova Scotia","Forestry, fishing, mining, quarrying, oil and gas"
"Wage30.csv","Nova Scotia","Construction"
"Wage31.csv","Nova Scotia","Manufacturing"
"Wage32.csv","Nova Scotia","Wholesale and retail trade"
"Wage33.csv","Nova Scotia","Transportation and warehousing"
"Wage34.csv","Nova Scotia","Finance, insurance, real estate, rental and leasing"
"Wage35.csv","Nova Scotia","Professional, scientific and technical services"
"Wage36.csv","Nova Scotia","Business, building and other support services"
"Wage37.csv","Nova Scotia","Educational services"
"Wage38.csv","Nova Scotia","Health care and social assistance"
"Wage39.csv","Nova Scotia","Information, culture and recreation"
"Wage40.csv","Nova Scotia","Accommodation and food services"
"Wage41.csv","Nova Scotia","Other services (except public administration)"
"Wage42.csv","Nova Scotia","Public administration"
"Wage43.csv","New Brunswick","Agriculture"
"Wage44.csv","New Brunswick","Forestry, fishing, mining, quarrying, oil and gas"
"Wage45.csv","New Brunswick","Construction"
"Wage46.csv","New Brunswick","Manufacturing"
"Wage47.csv","New Brunswick","Wholesale and retail trade"
"Wage48.csv","New Brunswick","Transportation and warehousing"
"Wage49.csv","New Brunswick","Finance, insurance, real estate, rental and leasing"
"Wage50.csv","New Brunswick","Professional, scientific and technical services"
"Wage51.csv","New Brunswick","Business, building and other support services"
"Wage52.csv","New Brunswick","Educational services"
"Wage53.csv","New Brunswick","Health care and social assistance"
"Wage54.csv","New Brunswick","Information, culture and recreation"
"Wage55.csv","New Brunswick","Accommodation and food services"
"Wage56.csv","New Brunswick","Other services (except public administration)"
"Wage57.csv","New Brunswick","Public administration"
"Wage58.csv","Quebec","Agriculture"
"Wage59.csv","Quebec","Forestry, fishing, mining, quarrying, oil and gas"
"Wage60.csv","Quebec","Utilities"
"Wage61.csv","Quebec","Construction"
"Wage62.csv","Quebec","Manufacturing"
"Wage63.csv","Quebec","Wholesale and retail trade"
"Wage64.csv","Quebec","Transportation and warehousing"
"Wage65.csv","Quebec","Finance, insurance, real estate, rental and leasing"
"Wage66.csv","Quebec","Professional, scientific and technical services"
"Wage67.csv","Quebec","Business, building and other support services"
"Wage68.csv","Quebec","Educational services"
"Wage69.csv","Quebec","Health care and social assistance"
"Wage70.csv","Quebec","Information, culture and recreation"
"Wage71.csv","Quebec","Accommodation and food services"
"Wage72.csv","Quebec","Other services (except public administration)"
"Wage73.csv","Quebec","Public administration"
"Wage74.csv","Ontario","Agriculture"
"Wage75.csv","Ontario","Forestry, fishing, mining, quarrying, oil and gas"
"Wage76.csv","Ontario","Utilities"
"Wage77.csv","Ontario","Construction"
"Wage78.csv","Ontario","Manufacturing"
"Wage79.csv","Ontario","Wholesale and retail trade"
"Wage80.csv","Ontario","Transportation and warehousing"
"Wage81.csv","Ontario","Finance, insurance, real estate, rental and leasing"
"Wage82.csv","Ontario","Professional, scientific and technical services"
"Wage83.csv","Ontario","Business, building and other support services"
"Wage84.csv","Ontario","Educational services"
"Wage85.csv","Ontario","Health care and social assistance"
"Wage86.csv","Ontario","Information, culture and recreation"
"Wage87.csv","Ontario","Accommodation and food services"
